               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.020023,            0.004895,            0.022394,             0.56511,             0.46949,             0.42618,             0.30347,            0.020379,            0.003962,            0.027532,             0.00307,             0.00307,             0.00307
                  37,            0.019841,           0.0049603,            0.022638,             0.49313,             0.49536,             0.43315,             0.30609,            0.020392,           0.0039166,            0.026862,            0.002872,            0.002872,            0.002872
                  38,            0.020117,           0.0049427,            0.021926,             0.56975,             0.47342,             0.44177,             0.31382,            0.020819,           0.0039478,            0.026714,            0.002674,            0.002674,            0.002674
                  39,            0.019687,           0.0048917,            0.021858,             0.54747,             0.48886,             0.44293,             0.31538,            0.020127,           0.0039399,            0.026382,            0.002476,            0.002476,            0.002476
                  40,            0.019368,           0.0048646,            0.021538,             0.54084,             0.50415,              0.4492,             0.32159,            0.019802,           0.0038916,            0.025749,            0.002278,            0.002278,            0.002278
                  41,            0.019259,           0.0048205,            0.021388,              0.5822,              0.4804,              0.4581,             0.32889,            0.019701,           0.0039071,            0.025388,             0.00208,             0.00208,             0.00208
                  42,            0.019034,           0.0047957,            0.021016,             0.53823,             0.51431,             0.47144,             0.33987,            0.019437,           0.0038841,            0.025085,            0.001882,            0.001882,            0.001882
                  43,            0.018647,           0.0047186,            0.020119,             0.53102,             0.52586,             0.47392,              0.3445,            0.019466,           0.0038797,            0.024698,            0.001684,            0.001684,            0.001684
                  44,            0.018447,           0.0046676,            0.019514,             0.54522,             0.51836,             0.48167,             0.35045,            0.019435,           0.0038888,              0.0243,            0.001486,            0.001486,            0.001486
                  45,            0.018485,           0.0047815,            0.019202,             0.49077,              0.5411,             0.48437,             0.35086,            0.019247,           0.0038554,            0.024244,            0.001288,            0.001288,            0.001288
                  46,            0.018012,           0.0045726,            0.019022,             0.51996,             0.54417,             0.48888,             0.35732,            0.019066,           0.0038588,            0.023789,             0.00109,             0.00109,             0.00109
                  47,            0.017811,           0.0046487,            0.018747,             0.52993,             0.54382,              0.4967,             0.36238,            0.019021,           0.0038603,            0.023291,            0.000892,            0.000892,            0.000892
                  48,            0.017311,           0.0045565,            0.018729,             0.50532,             0.55595,             0.50168,             0.36651,            0.018861,           0.0038285,             0.02328,            0.000694,            0.000694,            0.000694
                  49,            0.017452,           0.0046184,            0.018241,             0.56626,             0.53765,             0.50009,             0.36551,            0.018725,           0.0038304,            0.022986,            0.000496,            0.000496,            0.000496
